# // var lakaras = {'लट्': [], 'लङ्': [], 'लिट्': [], 'लुङ्': [], 'लुट्': [], 'ऌट्': [], 'लोट्': [], 'विधिलिङ्': [], 'आशीर्लिङ्': [], 'ॡङ्': []};
# law p
ति,तः,न्ति,सि,थः,थ,ामि,ावः,ामः
# a
ते,ेते,न्ते,से,ेथे,ध्वे,े,ावहे,ामहे
# laN p
त्,ताम्,न्,ः,तम्,त,म्,ाव,ाम
# a
त,ेताम्,न्त,थाः,ेथाम्,ध्वम्,े,ावहि,ामहि
त,ेताम्,न्त,ेथाः,ेथाम्,ध्वम्,े,ावहि,ामहि
त,ताम्,न्त,थाः,ेथाम्,ध्वम्,े,ावहि,ामहि
त,्ताम्,न्त,थाः,ेथाम्,ध्वम्,े,ावहि,ामहि
#
# lot p लोट्
तु,ताम्,न्तु,,तम्,त,ानि,ाव,ाम
# a
ताम्,ेताम्,न्ताम्,स्व,ेथाम्,ध्वम्,ै,ावहै,ामहै
ताम्,ेयाताम्,न्ताम्,स्व,ेयाथाम्,ध्वम्,ै,ावहै,ामहै
िताम्,ेताम्,न्ताम्,स्व,ेथाम्,ध्वम्,ै,ावहै,ामहै
#
# v-liN p विधिलिङ्'
 ेत्,ेताम्,ेयुः,ेः,ेतम्,ेत,ेयम्,ेव,ेम
# v-liN a
 ेत,ेयाताम्,ेरन्,ेथाः,ेयाथाम्,ेयध्वम्,ेय,ेवहि,ेमहि'
